woning,adres,naam,aantal_deuren,aantal_ramen,aantal_dakappellen
Land House,"1499 Nguyen Bypass, Hubbardmouth, IN 20750",Samuel Peterson,4,9,3
Participant House,"01650 Gutierrez Forges Suite 884, Lake Victoriamouth, AZ 47072",Emily Franco,2,2,3
These House,"7141 Johnathan Drive Apt. 265, Kathryntown, MA 35408",Preston Chaney,8,18,4
Term House,"Unit 0855 Box 0458, DPO AP 24743",Thomas Ross,5,5,0
Light House,"077 Smith Divide Apt. 231, Erinmouth, AL 49295",Kelly Torres,9,18,2
Rather House,"4233 Graves Wells, North Ronnie, AR 78497",Tracy Romero,10,15,1
Leg House,"14445 Melvin Roads Apt. 103, Lake Rhondabury, CT 60586",Alejandro Graham,9,20,0
Though House,"8169 Freeman Spurs Suite 601, Lake Sophia, VT 09803",Tara Larson,4,7,1
It House,"461 Tracy Route, Murrayview, SD 59477",Meagan Cox,5,4,5
Table House,"6481 Stephanie Camp Apt. 371, Edwardsbury, KS 65906",Dawn Fisher,2,16,0
If House,"190 Whitney Locks, West Brandonhaven, GU 39337",Kenneth Garcia,10,15,4
Argue House,"53204 Torres Hill Suite 179, West Stephanie, VI 57430",Michelle Brown,5,7,0
Opportunity House,"8951 Janice Manors Suite 099, Samanthafurt, MT 95044",Mrs. Jennifer Carter,2,16,4
Reality House,"5257 Joyce Key, Gregoryland, MA 90282",Jessica Tran,4,4,1
All House,"4089 Cook Bridge Suite 640, Toddton, NC 26956",Amy Peck,1,13,3
Cell House,"4371 Williams Island Suite 526, East Dana, SC 09739",Tracy Rodriguez,8,11,1
Tonight House,"63963 Jensen Gateway Suite 706, Annmouth, NY 58554",Donald Bailey,9,13,5
Mrs House,"50027 Collins Prairie Apt. 882, West Stephaniemouth, AR 37035",Stephen Franco,7,13,1
Short House,"6120 Rebecca Spur Suite 630, Williamview, HI 06309",David Mckenzie,3,14,3
While House,"5111 Michael Forks Apt. 624, West Jennaborough, CT 94354",Karen Martinez,3,5,3
Audience House,"070 Walker Shores Apt. 130, South Richardview, NH 26110",Lisa Kaiser,8,11,5
Person House,"PSC 8753, Box 5371, APO AA 32071",Tyler Oliver,3,1,4
Event House,"967 Lindsay Extension, Emilytown, NC 93356",Melissa Douglas,7,5,0
Ahead House,"627 Goodwin Isle, Ramirezhaven, OK 77270",Robert Miller,3,19,0
Wish House,"47480 Joseph Ways Suite 922, West Stephanietown, TN 87759",Christine Yates,4,5,3
Box House,"75436 Sabrina Squares Apt. 432, West Cassandratown, TN 23566",Caleb Martin,6,1,5
Edge House,"PSC 2372, Box 9464, APO AA 78589",Sabrina Rodgers,5,9,1
Role House,"PSC 3414, Box 6829, APO AA 54777",Jamie Newton,9,1,5
Mission House,"5469 Kristen Fords, Shannonstad, AR 47706",Penny Torres,7,8,2
Year House,"14268 Hannah Turnpike, New Joshua, OH 42137",Susan Moore,10,10,0
Environment House,"3140 Carroll Fort Apt. 539, New Ashleyfurt, AK 50833",Sarah Terry,2,11,3
Particular House,"4435 Madison Ports Suite 889, New Kaylamouth, AZ 41263",Aaron Mccoy,10,18,4
Apply House,"8710 Davies Summit, Halefurt, VI 78955",Shane Mendoza,2,16,1
Air House,"0972 Anthony Highway Suite 016, Mitchellland, MT 78130",Terry Wilson,10,8,4
Simple House,"37913 John Mountain Suite 258, Michaelhaven, NH 96766",Richard Nguyen,4,18,3
Common House,"1316 Molly Turnpike Suite 223, Keithside, VI 86268",Anthony Henry,8,9,3
Draw House,"57811 Davenport Pine, Stephanieshire, FL 57227",Cathy Rodriguez,10,16,3
Big House,"175 Morgan Union, West Margaretstad, CA 88918",Steven Lopez,3,12,2
